chr,start,end,strand,name,nr reads,start region,end region,closest cg id,closest symbol
chr3R,21564778,21565341,-,s7665,2,CDS,CDS,CG31092,LpR2
chr3R,2275697,2276042,-,s7666,2,other,other,CG9727,CG9727
chr3R,24149372,24151541,-,s7667,2,CDS,5' UTRs,CG42551,larp
chr3R,6532207,6532477,-,s7668,2,CDS,5' UTRs,CG31467,CG31467
chr3R,7041180,7041526,-,s7669,2,3' UTRs,CDS,CG6684,RpS25
chr3R,9466562,9467119,-,s7670,2,3' UTRs,3' UTRs,FBgn0086897,sqd-RA
chr3R,9470928,9471038,-,s7671,2,introns,introns,FBgn0086897,sqd-RA
chr3R,13577435,13577648,-,s7672,2,3' UTRs,3' UTRs,CG7431,CG7431
chr3R,27042029,27042409,-,s7673,2,3' UTRs,3' UTRs,CG15561,CG15561
chr3R,4481170,4481449,-,s7674,2,other,3' UTRs,FBgn0000171,bel-RA
chr3R,5362340,5362607,-,s7675,2,other,other,CG9381,mura
chr3R,16830919,16831141,-,s7676,2,3' UTRs,CDS,CG10827,CG10827
chr3R,21170553,21170937,-,s7677,2,3' UTRs,CDS,FBgn0039330,NA
chr3R,27042002,27042323,-,s7678,2,3' UTRs,3' UTRs,CG15561,CG15561
chr3R,21531654,21565344,-,s7679,2,CDS,5' UTRs,CG31092,LpR2
chr3R,26211581,26211673,-,s7680,2,3' UTRs,3' UTRs,CG2216,Fer1HCH
chr3R,27423999,27424191,-,s7681,2,other,3' UTRs,CG11525,CycG
chr3R,8450010,8450265,-,s7682,2,3' UTRs,3' UTRs,CG17369,Vha55
chr3R,20760809,20761189,-,s7683,2,3' UTRs,CDS,CG6708,Osbp
chr3R,26211363,26211493,-,s7684,2,3' UTRs,3' UTRs,CG2216,Fer1HCH
chr3R,27005312,27005524,-,s7685,2,3' UTRs,3' UTRs,CG31004,CG31004
chr3R,5863539,5881933,-,s7686,2,5' UTRs,other,CG11722,CG11722
chr3R,7577010,7577758,-,s7687,2,other,other,CG6923,CG6923
chr3R,10339662,10340184,-,s7688,2,3' UTRs,3' UTRs,CG8461,CG8461
chr3R,19632349,19644333,-,s7689,2,CDS,5' UTRs,CG33111,CG33111
chr3R,24144652,24144909,-,s7690,2,3' UTRs,3' UTRs,CG42551,larp
chr3R,272463,273676,-,s7691,2,CDS,5' UTRs,CG31522,CG31522
chr3R,273424,273676,-,s7692,2,CDS,5' UTRs,CG31522,CG31522
chr3R,27423687,27424112,-,s7693,2,other,other,CG11525,CycG
chr3R,7577066,7577829,-,s7694,2,other,other,CG6923,CG6923
chr3R,9465016,9465290,-,s7695,2,3' UTRs,3' UTRs,FBgn0086897,sqd-RA
chr3R,21524577,21524906,-,s7696,2,3' UTRs,3' UTRs,CG31092,LpR2
chr3R,27066715,27067498,-,s7697,2,CDS,CDS,CG31005,CG31005
chr3R,10633766,10634533,-,s7698,2,CDS,CDS,CG33555,btsz
chr3R,23745075,23745136,-,s7699,2,5' UTRs,5' UTRs,CG33213,CG33213
chr3R,20770300,20770371,-,s7700,2,5' UTRs,5' UTRs,CG6238,ssh
chr3R,21535748,21565341,-,s7701,2,CDS,CDS,CG31092,LpR2
chr3R,2645930,2646142,-,s7702,2,other,other,CG1030,Scr
chr3R,4474823,4474994,-,s7703,2,introns,introns,CG9738,Mkk4
chr3R,9468552,9468595,-,s7704,2,5' UTRs,5' UTRs,FBgn0086897,sqd-RA
chr3R,27434980,27435199,-,s7705,2,introns,5' UTRs,CG11539,CG11539
chr3R,6428515,6431090,-,s7706,2,CDS,5' UTRs,CG17117,hth
chr3R,12681496,12684870,-,s7707,2,introns,other,CG10325,abd-A
chr3R,1421696,1423187,-,s7708,2,3' UTRs,CDS,CG2922,exba
chr3R,24679913,24683061,-,s7709,2,3' UTRs,5' UTRs,CG1448,inx3
chr3R,27423454,27423685,-,s7710,2,other,other,CG11522,RpL6
chr3R,10257697,10265204,-,s7711,2,CDS,introns,FBgn0085418,NA
chr3R,25843989,25845405,-,s7712,2,CDS,5' UTRs,CG7921,Mgat2
chr3R,27043082,27043262,-,s7713,2,introns,introns,CG1746,CG1746
chr3R,10519263,10519399,-,s7714,2,introns,introns,CG7649,Neu3
chr3R,19871537,19872044,-,s7715,2,5' UTRs,5' UTRs,CG5422,Rox8
chr3R,9051995,9052805,-,s7716,2,other,other,CG17907,Ace
chr3R,16908771,16908898,-,s7717,2,3' UTRs,3' UTRs,CG3421,RhoGAP93B
chr3R,7592769,7593565,-,s7718,2,3' UTRs,3' UTRs,CG6930,l(3)neo38
chr3R,23222167,23225008,-,s7719,2,CDS,CDS,CG31062,side
chr3R,1426738,1472937,-,s7720,2,5' UTRs,CDS,CG2922,exba
chr3R,9521108,9521836,-,s7721,2,3' UTRs,CDS,CG9611,f-cup
chr3R,12529688,12536334,-,s7722,2,introns,CDS,CG10388,Ubx
chr3R,17147519,17149939,-,s7723,2,CDS,CDS,CG16791,CG16791
chr3R,11016931,11017123,-,s7724,2,3' UTRs,CDS,CG6752,CG6752
chr3R,4642201,4642627,-,s7725,2,3' UTRs,3' UTRs,CG9821,CG9821
chr3R,10906170,10906281,-,s7726,2,3' UTRs,3' UTRs,CG6966,CG6966
chr3R,1833549,1833592,-,s7727,2,introns,introns,CG10279,Rm62
chr3R,12901226,12902615,-,s7728,2,CDS,CDS,CG3962,Keap1
chr3R,26196749,26197001,-,s7729,2,other,other,CG2216,Fer1HCH
chr3R,1138712,1148847,-,s7730,2,CDS,5' UTRs,CG32464,l(3)82Fd
chr3R,25280782,25302684,-,s7731,2,introns (AS),introns (AS),CG2321,CG2321
chr3R,8538924,8539126,-,s7732,2,3' UTRs,3' UTRs,CG10120,Men
chr3R,21176282,21176431,-,s7733,2,introns,introns,CG10772,Fur1
chr3R,26271601,26275681,-,s7734,2,3' UTRs,CDS,CG2139,aralar1
chr3R,12917317,12917573,-,s7735,2,3' UTRs,3' UTRs,CG3937,cher
chr3R,21548139,21565341,-,s7736,2,CDS,CDS,CG31092,LpR2
chr3R,8775776,8776240,-,s7737,2,3' UTRs,CDS,CG7340,granny-smith
chr3R,26211515,26211649,-,s7738,2,3' UTRs,3' UTRs,CG2216,Fer1HCH
chr3R,11687494,11690651,-,s7739,2,CDS,CDS,CG31183,CG31183
chr3R,2214946,2215072,-,s7740,2,3' UTRs,3' UTRs,CG1021,CG1021
chr3R,5364519,5375532,-,s7741,2,3' UTRs,5' UTRs,CG9381,mura
chr3R,13730670,13731911,-,s7742,2,CDS,CDS,CG33547,Rim
chr3R,18140718,18144711,-,s7743,2,CDS,5' UTRs,CG34377,CG34377
chr3R,5257752,5258561,-,s7744,2,5' UTRs (AS),CDS (AS),CG9361,Task7
chr3R,7074688,7074863,-,s7745,2,other,other,CG17734,CG17734
chr3R,19012335,19012522,-,s7746,2,3' UTRs,3' UTRs,CG43286,CG13826
chr3R,7578611,7579735,-,s7747,2,3' UTRs,CDS,CG17342,Lk6
chr3R,8938734,8958815,-,s7748,2,introns (AS),5' UTRs,CG42573,2mit
chr3R,9051132,9052357,-,s7749,2,other,other,CG17907,Ace
chr3R,9288175,9288683,-,s7750,2,introns,introns,CG9764,yrt
chr3R,23389061,23390152,-,s7751,2,other,other,CG5646,CG5646
chr3R,7074752,7074956,-,s7752,2,other,repeats (AS),CG17734,CG17734
chr3R,7078299,7078569,-,s7753,2,introns,introns,CG17734,CG17734
chr3R,5553713,5553957,-,s7754,2,CDS,CDS,CG43067,CG32937
chr3R,1710388,1718711,-,s7755,2,CDS,CDS,CG34113,CG34113
chr3R,20653735,20653793,-,s7756,2,other,other,CG31118,RabX4
chr3R,10375067,10375175,-,s7757,2,other,other,CG14854,CG14854
chr3R,13309984,13323296,-,s7758,2,CDS,CDS,FBgn0051190,NA
chr3R,3320163,3320516,-,s7759,2,3' UTRs,3' UTRs,CG1131,alpha-Est10
chr3R,4642102,4642906,-,s7760,2,3' UTRs,3' UTRs,CG9821,CG9821
chr3R,14245634,14246600,-,s7761,2,introns,introns,CG14307,fru
chr3R,18978260,18978497,-,s7762,2,3' UTRs,3' UTRs,CG4620,unk
chr3R,19927466,19927667,-,s7763,2,3' UTRs,CDS,CG33100,4EHP
chr3R,21113333,21113618,-,s7764,2,CDS (AS),CDS (AS),CG31098,CG31098
chr3R,27423641,27423887,-,s7765,2,other,other,CG11525,CycG
chr3R,27428747,27428959,-,s7766,2,5' UTRs,introns,CG11525,CycG
chr3R,3345418,3346269,-,s7767,2,3' UTRs,CDS,CG12799,Ubc84D
chr3R,5362344,5362726,-,s7768,2,other,other,CG9381,mura
chr3R,5470962,5471436,-,s7769,2,3' UTRs,CDS,CG9434,Fst
chr3R,5623548,5623843,-,s7770,2,3' UTRs,3' UTRs,CG9467,CG9467
chr3R,613191,613458,-,s7771,2,3' UTRs,3' UTRs,CG42574,CG42574
chr3R,1826331,1826763,-,s7772,2,3' UTRs,3' UTRs,CG10279,Rm62
chr3R,27423633,27424656,-,s7773,2,other,3' UTRs,CG11525,CycG
chr3R,4640649,4642017,-,s7774,2,3' UTRs,3' UTRs,CG9821,CG9821
chr3R,9051459,9051865,-,s7775,2,other,other,CG17907,Ace
chr3R,12271349,12271613,-,s7776,2,3' UTRs,3' UTRs,CG14894,CG14894
chr3R,22668522,22668720,-,s7777,2,3' UTRs,3' UTRs,CG31072,Lerp
chr3R,27872419,27872796,-,s7778,2,other,other,CG1487,krz
chr3R,4642102,4642290,-,s7779,2,3' UTRs,3' UTRs,CG9821,CG9821
chr3R,5362177,5362607,-,s7780,2,other,other,CG9381,mura
chr3R,16879748,16879941,-,s7781,2,introns,introns,CG3671,Mvl
chr3R,18559728,18560364,-,s7782,2,3' UTRs,CDS,CG4803,Takl2
chr3R,26881920,26882227,-,s7783,2,3' UTRs,3' UTRs,CG2048,dco
chr3R,27006182,27006535,-,s7784,2,CDS,CDS,CG31004,CG31004
chr3R,3800168,3800562,-,s7785,2,3' UTRs,CDS,CG2791,CD98hc
chr3R,4480760,4481294,-,s7786,2,repeats (AS),other,FBgn0000171,bel-RA
chr3R,11049549,11050921,-,s7787,2,CDS,5' UTRs,CG31344,CG31344
chr3R,17100370,17100607,-,s7788,2,introns,introns,CG3301,CG3301
chr3R,26211504,26211712,-,s7789,2,3' UTRs,3' UTRs,CG2216,Fer1HCH
chr3R,291360,291741,-,s7790,2,3' UTRs,3' UTRs,CG31523,CG31523
chr3R,6408303,6408541,-,s7791,2,3' UTRs,3' UTRs,CG17117,hth
chr3R,27857844,27859316,-,s7792,2,other,other,CG1487,krz
chr3R,612696,613469,-,s7793,2,other,3' UTRs,CG42574,CG42574
chr3R,7577537,7577758,-,s7794,2,other,other,CG6923,CG6923
chr3R,13500396,13500953,-,s7795,2,3' UTRs,repeats,CG18212,alt
chr3R,16879589,16879852,-,s7796,2,introns,introns,CG3671,Mvl
chr3R,21525340,21525544,-,s7797,2,3' UTRs,3' UTRs,CG31092,LpR2
chr3R,27423940,27424149,-,s7798,2,other,other,CG11525,CycG
chr3R,27423951,27424753,-,s7799,2,other,3' UTRs,CG11525,CycG
chr3R,27873547,27873684,-,s7800,2,3' UTRs,3' UTRs,CG1487,krz
chr3R,7577010,7578174,-,s7801,2,other,other,CG6923,CG6923
chr3R,7577391,7577671,-,s7802,2,other,other,CG6923,CG6923
chr3R,9465729,9466116,-,s7803,2,3' UTRs,3' UTRs,FBgn0086897,sqd-RA
chr3R,10090208,10090649,-,s7804,2,3' UTRs,3' UTRs,CG8651,trx
chr3R,10728186,10728419,-,s7805,2,3' UTRs,3' UTRs,CG7014,RpS5b
chr3R,18939822,18940174,-,s7806,2,3' UTRs,3' UTRs,CG4656,Rassf
chr3R,24423814,24424017,-,s7807,2,3' UTRs,CDS,CG10009,Noa36
chr3R,5363216,5363879,-,s7808,2,other,other,CG9381,mura
chr3R,559296,559720,-,s7809,2,other,other,CG9765,tacc
chr3R,9467815,9468012,-,s7810,2,3' UTRs,CDS,FBgn0086897,sqd-RA
chr3R,12477037,12477981,-,s7811,2,5' UTRs,5' UTRs,CG14906,CG14906
chr3R,13577206,13577464,-,s7812,2,3' UTRs,3' UTRs,CG7431,CG7431
chr3R,14212630,14212833,-,s7813,2,3' UTRs,CDS,CG7678,CG7678
chr3R,14964887,14965252,-,s7814,2,other,other,CG5629,Ppcs
chr3R,4641710,4642191,-,s7815,2,3' UTRs,3' UTRs,CG9821,CG9821
chr3R,7577726,7577924,-,s7816,2,other,other,CG17342,Lk6
chr3R,13221871,13222850,-,s7817,2,3' UTRs,3' UTRs,CG5413,CREG
chr3R,12177601,12178081,-,s7818,2,CDS,5' UTRs,CG10311,CG10311
chr3R,27691474,27692158,-,s7819,2,CDS,CDS,CG31000,heph
chr3R,27731485,27731709,-,s7820,2,introns,introns,CG31000,heph
chr3R,27424308,27424579,-,s7821,2,3' UTRs,3' UTRs,CG11525,CycG
chr3R,10556234,10563205,-,s7822,2,CDS,CDS,CG7530,CG7530
chr3L,13911355,13911552,-,s7823,2,introns,introns,CG8865,Rgl
chr3L,21068678,21068839,-,s7824,2,3' UTRs,3' UTRs,CG10573,ko
chr3L,15917601,15917811,-,s7825,2,other,other,CG6117,Pka-C3
chr3L,20266088,20273247,-,s7826,2,CDS,5' UTRs,CG32227,gogo
chr3L,20934188,20934256,-,s7827,2,introns,introns,CG10580,fng
chr3L,23321815,23324115,-,s7828,2,CDS,CDS,CG17947,alpha-Cat
chr3L,7054951,7056250,-,s7829,2,CDS,5' UTRs,CG8641,CG8641
chr3L,16365885,16366086,-,s7830,2,other,other,CG16807,roq
chr3L,11729725,11731029,-,s7831,2,3' UTRs,CDS,CG6024,CG6024
chr3L,13534590,13577371,-,s7832,2,CDS,CDS,FBgn0262350,NA
chr3L,1635187,1637272,-,s7833,2,CDS,5' UTRs,CG17248,n-syb
chr3L,1716273,1724225,-,s7834,2,3' UTRs,5' UTRs,CG2086,drpr
chr3L,208972,209374,-,s7835,2,CDS,CDS,CG7028,CG7028
chr3L,370608,371507,-,s7836,2,CDS,CDS,CG42865,trh
chr3L,9101057,9123130,-,s7837,2,CDS,5' UTRs,CG4760,bol
chr3L,1305001,1305236,-,s7838,2,other,other,CG2277,CG2277
chr3L,13533665,13595576,-,s7839,2,CDS,CDS,FBgn0262350,NA
chr3L,13972137,13979268,-,s7840,2,CDS,other,CG17364,CG17364
chr3L,15862931,15872496,-,s7841,2,CDS,5' UTRs,CG33989,pHCl
chr3L,16366343,16366645,-,s7842,2,3' UTRs,3' UTRs,CG16807,roq
chr3L,20342043,20344830,-,s7843,2,5' UTRs (AS),CDS (AS),CG5585,CG5585
chr3L,2869942,2872750,-,s7844,2,CDS,5' UTRs,CG43444,NA
chr3L,4261967,4262397,-,s7845,2,CDS,5' UTRs,CG11586,CG11586
chr3L,7689745,7693648,-,s7846,2,CDS,CDS,FBgn0261687,NA
chr3L,8433639,8433680,-,s7847,2,5' UTRs,5' UTRs,FBgn0035895,Unr-RA
chr3L,9105735,9117010,-,s7848,2,CDS,introns,CG4760,bol
chr3L,11086019,11086235,-,s7849,2,5' UTRs,5' UTRs,CG6279,CG6279
chr3L,11993374,11994190,-,s7850,2,CDS,CDS,CG5684,Pop2
chr3L,16495322,16496629,-,s7851,2,introns,CDS,CG43373,CG42513
chr3L,2130794,2138470,-,s7852,2,CDS,CDS,CG33484,zormin
chr3L,3058406,3058470,-,s7853,2,introns,introns,CG32486,CG32486
chr3L,7270065,7272457,-,s7854,2,CDS,CDS,CG32381,unc-13-4A
chr3L,14500715,14503019,-,s7855,2,CDS,5' UTRs,CG42230,bbg
chr3L,22782775,22782933,-,s7856,2,repeats (AS),other,CG11352,jim
chr3L,23319789,23324115,-,s7857,2,CDS,CDS,CG17947,alpha-Cat
chr3L,4082404,4084798,-,s7858,2,CDS,CDS,CG14994,Gad1
chr3L,5508286,5509204,-,s7859,2,CDS,CDS,CG10626,Lkr
chr3L,5756656,5758284,-,s7860,2,CDS,CDS,CG10576,CG10576
chr3L,8735207,8735523,-,s7861,2,CDS,CDS,CG5939,Prm
chr3L,15833833,15834229,-,s7862,2,5' UTRs,5' UTRs,CG32150,CG32150
chr3L,15852913,15856336,-,s7863,2,CDS,CDS,CG33989,pHCl
chr3L,21092562,21093293,-,s7864,2,CDS,5' UTRs,CG10573,ko
chr3L,4096905,4098199,-,s7865,2,CDS,CDS,CG14995,CG14995
chr3L,14534590,14534790,-,s7866,2,other,3' UTRs,CG9238,CG9238
chr3L,211293,211435,-,s7867,2,CDS,5' UTRs,CG7028,CG7028
chr3L,4124451,4124575,-,s7868,2,3' UTRs,3' UTRs,CG14998,ens
chr3L,514392,514705,-,s7869,2,introns,5' UTRs,CG17046,klar
chr3L,6197067,6197663,-,s7870,2,3' UTRs,CDS,CG10236,LanA
chr3L,3722157,3722522,-,s7871,2,CDS,CDS,CG32264,CG32264
chr3L,17371387,17371963,-,s7872,2,CDS,5' UTRs,CG6445,Cad74A
chr3L,22340720,22343198,-,s7873,2,introns,introns,CG5723,Ten-m
chr3L,3117084,3117405,-,s7874,2,CDS,CDS,CG7740,prominin-like
chr3L,4955827,4963190,-,s7875,2,CDS,5' UTRs,CG7503,Con
chr3L,7925878,7926334,-,s7876,2,CDS,CDS,CG8110,syd
chr3L,9100443,9117010,-,s7877,2,CDS,introns,CG4760,bol
chr3L,9729072,9730065,-,s7878,2,CDS,CDS,CG42268,CG42268
chr3L,9836333,9838539,-,s7879,2,CDS,CDS,CG6721,Gap1
chr3L,16513170,16514132,-,s7880,2,CDS,CDS,CG43373,CG42513
chr3L,1716798,1724225,-,s7881,2,CDS,5' UTRs,CG2086,drpr
chr3L,17393602,17394423,-,s7882,2,3' UTRs,5' UTRs,CG32172,noe
chr3L,17591288,17592533,-,s7883,2,CDS,5' UTRs,CG32180,Eip74EF
chr3L,2561933,2562843,-,s7884,2,CDS,CDS,CG16973,msn
chr3L,3721538,3723105,-,s7885,2,CDS,CDS,CG32264,CG32264
chr3L,4642678,4675947,-,s7886,2,CDS,5' UTRs,CG43225,axo
chr3L,5229159,5230698,-,s7887,2,introns,introns,CG32423,shep
chr3L,6709231,6710526,-,s7888,2,CDS,CDS,CG10118,ple
chr3L,9729072,9743399,-,s7889,2,CDS,CDS,CG42268,CG42268
chr3L,21994313,22012474,-,s7890,2,other,other,CG7140,CG7140
chr3L,13771014,13776630,-,s7891,2,other,CDS,FBgn0085272,CG34243-RA
chr3L,4123998,4124564,-,s7892,2,3' UTRs,3' UTRs,CG14998,ens
chr3L,9105735,9106583,-,s7893,2,CDS,5' UTRs,CG4760,bol
chr3L,12208719,12214382,-,s7894,2,CDS,5' UTRs,CG42318,app
chr3L,17067294,17077256,-,s7895,2,CDS,CDS,FBgn0052169,NA
chr3L,1959573,1963062,-,s7896,2,CDS,5' UTRs,CG42863,CG42863
chr3L,9625051,9625430,-,s7897,2,3' UTRs,CDS,CG32045,fry
chr3L,14500715,14526822,-,s7898,2,CDS,5' UTRs,CG42230,bbg
chr3L,1630493,1630650,-,s7899,2,3' UTRs,3' UTRs,CG17248,n-syb
chr3L,19357721,19367940,-,s7900,2,CDS,CDS,CG32206,CG32206
chr3L,20800246,20800347,-,s7901,2,3' UTRs,3' UTRs,CG3634,CG3634
chr3L,22300648,22301291,-,s7902,2,CDS,CDS,CG5723,Ten-m
chr3L,22511562,22541038,-,s7903,2,other,other,CG43329,
chr3L,621635,622282,-,s7904,2,CDS,5' UTRs,CG43337,
chr3L,7277706,7278317,-,s7905,2,CDS,other,CG32381,unc-13-4A
chr3L,8941984,8942850,-,s7906,2,CDS,5' UTRs,FBgn0262573,NA
chr3L,13530415,13530706,-,s7907,2,3' UTRs,3' UTRs,FBgn0262350,NA
chr3L,17647093,17647197,-,s7908,2,5' UTRs,5' UTRs,CG32179,Krn
chr3L,18983569,18983744,-,s7909,2,3' UTRs,3' UTRs,CG34256,CG34256
chr3L,19060884,19061056,-,s7910,2,3' UTRs,3' UTRs,CG14080,Mkp3
chr3L,22387214,22387397,-,s7911,2,introns,introns,CG5723,Ten-m
chr3L,4379445,4379545,-,s7912,2,5' UTRs,5' UTRs,CG32240,CG32240
chr3L,11171465,11172816,-,s7913,2,3' UTRs,CDS,CG6207,GlcAT-P
chr3L,17393766,17393801,-,s7914,2,3' UTRs,3' UTRs,CG32172,noe
chr3L,9727617,9735933,-,s7915,2,3' UTRs,introns,CG6749,CG6749
chr3L,10214495,10217337,-,s7916,2,CDS,CDS,CG32056,scramb1
chr3L,16522728,16523756,-,s7917,2,CDS,5' UTRs,CG43373,CG42513
chr3L,20709900,20710410,-,s7918,2,CDS,5' UTRs,CG13253,CG13253
chr3L,22288053,22288543,-,s7919,2,3' UTRs,3' UTRs,CG5723,Ten-m
chr3L,22789966,22790063,-,s7920,2,3' UTRs,3' UTRs,CG11352,jim
chr3L,9042049,9042252,-,s7921,2,3' UTRs,3' UTRs,CG32031,Argk
chr3L,9743154,9746533,-,s7922,2,CDS,5' UTRs,CG42268,CG42268
chr3L,12235886,12241646,-,s7923,2,introns,introns,CG42318,app
chr3L,13766069,13771411,-,s7924,2,other,CDS,FBgn0085272,CG34243-RA
chr3L,16781431,16782700,-,s7925,2,3' UTRs,CDS,CG9674,CG9674
chr3L,12199601,12199838,-,s7926,2,3' UTRs,3' UTRs,CG5626,CG5626
chr3L,13879181,13880565,-,s7927,2,CDS,CDS,FBgn0085429,CG34400-RE
chr3L,14747186,14750430,-,s7928,2,5' UTRs,5' UTRs,CG33261,Trl
chr3L,14771034,14772122,-,s7929,2,CDS,CDS,CG5295,bmm
chr3L,16780813,16781220,-,s7930,2,other,3' UTRs,CG9674,CG9674
chr3L,20847706,20853526,-,s7931,2,CDS,CDS,CG32432,CG32432
chr3L,22789932,22790063,-,s7932,2,3' UTRs,3' UTRs,CG11352,jim
chr3L,9728821,9729070,-,s7933,2,introns,introns,CG42268,CG42268
chr3L,9730230,9743399,-,s7934,2,CDS,CDS,CG42268,CG42268
chr3L,16132633,16132894,-,s7935,2,3' UTRs,3' UTRs,CG5151,CG5151
chr3L,16652331,16652566,-,s7936,2,CDS,5' UTRs,CG3971,Baldspot
chr3L,17590561,17596483,-,s7937,2,CDS,5' UTRs,CG32180,Eip74EF
chr3L,2560117,2564755,-,s7938,2,CDS,CDS,CG16973,msn
chr3L,4124451,4124783,-,s7939,2,3' UTRs,3' UTRs,CG14998,ens
chr3L,7924856,7926891,-,s7940,2,CDS,CDS,CG8110,syd
chr3L,7807775,7824910,-,s7941,2,3' UTRs,5' UTRs,CG17888,Pdp1
chr3L,14111356,14111797,-,s7942,2,introns,CDS,CG32139,Sox21b
chr3L,15809375,15817089,-,s7943,2,5' UTRs,5' UTRs,CG6151,flower
chr3L,18921251,18923778,-,s7944,2,CDS,CDS,CG32204,CG32204
chr3L,9488147,9488386,-,s7945,2,3' UTRs,3' UTRs,CG3424,path
chr3L,17158014,17172475,-,s7946,2,CDS,CDS,FBgn0052169,NA
chr3L,24203122,24251736,-,s7947,2,CDS (AS),CDS (AS),CG40053,CG40053
chr3L,2559316,2560295,-,s7948,2,introns,CDS,CG16973,msn
chr3L,4180243,4182873,-,s7949,2,3' UTRs,5' UTRs,CG15004,Teh2
chr3L,9060819,9060913,-,s7950,2,other,other,CG4911,CG4911
chr3L,5893973,5894296,-,s7951,2,3' UTRs,CDS,CG32412,CG32412
chr3L,9394474,9395422,-,s7952,2,5' UTRs,5' UTRs,CG4035,eIF-4E
chr3L,12844410,12845377,-,s7953,2,CDS (AS),CDS (AS),CG10948,CG10948
chr3L,15811972,15812143,-,s7954,2,3' UTRs,3' UTRs,CG6151,flower
chr3L,19862204,19863657,-,s7955,2,CDS,5' UTRs,CG8287,Rab8
chr3L,20770118,20770304,-,s7956,2,3' UTRs,CDS,CG3947,pex16
chr3L,20849527,20853526,-,s7957,2,CDS,CDS,CG32432,CG32432
chr3L,22784142,22784265,-,s7958,2,other,other,CG11352,jim
chr3L,4655974,4664953,-,s7959,2,CDS,CDS,CG43225,axo
chr3L,6158635,6158876,-,s7960,2,other,other,CG10289,CG10289
chr3L,6325571,6326192,-,s7961,2,CDS,5' UTRs,CG13300,CG13300
chr3L,11613633,11614072,-,s7962,2,3' UTRs,3' UTRs,CG6084,CG6084
chr3L,2554059,2567814,-,s7963,2,5' UTRs,CDS,CG16973,msn
chr3L,18983563,18983655,-,s7964,2,3' UTRs,3' UTRs,CG34256,CG34256
chr3L,15827469,15829264,-,s7965,2,CDS,3' UTRs,CG18081,CG18081
chr3L,19153720,19225672,-,s7966,2,5' UTRs,5' UTRs,CG9739,fz2
chr3L,3718197,3723105,-,s7967,2,CDS,CDS,CG32264,CG32264
chr3L,507976,529375,-,s7968,2,CDS,introns,CG17046,klar
chr3L,5594224,5594656,-,s7969,2,3' UTRs,3' UTRs,CG10590,CG10590
chr3L,14018453,14018564,-,s7970,2,CDS,repeats,CG32133,ptip
chr3L,334976,335169,-,s7971,2,CDS,CDS,CG17061,mthl10
chr3L,17415154,17416069,-,s7972,2,3' UTRs,CDS,CG3885,sec3
chr3L,20443175,20443600,-,s7973,2,introns (AS),3' UTRs (AS),CG5199,CG5199
chr3L,16606759,16607073,-,s7974,2,3' UTRs,3' UTRs,CG4083,Mo25
chr3L,7319467,7319682,-,s7975,2,3' UTRs,3' UTRs,CG8602,CG8602
chr3L,8427290,8427461,-,s7976,2,3' UTRs,3' UTRs,FBgn0035895,Unr-RA
chr3L,9488634,9488903,-,s7977,2,3' UTRs,CDS,CG3424,path
chr3L,17892024,17892289,-,s7978,2,3' UTRs,3' UTRs,CG5485,Prestin
chr3L,24335155,24335354,-,s7979,2,repeats,repeats,CG40053,CG40053
chr3L,4224380,4224655,-,s7980,2,other,other,CG15009,ImpL2
chr3L,606198,611995,-,s7981,2,CDS,other,CG3200,Reg-2
chr3L,9888362,9888574,-,s7982,2,3' UTRs,3' UTRs,CG6707,CG6707
chr3L,15131044,15131249,-,s7983,2,3' UTRs,3' UTRs,CG6988,Pdi
chr3L,17892520,17895216,-,s7984,2,CDS,5' UTRs,CG5485,Prestin
chr3L,19622366,19622853,-,s7985,2,CDS,CDS,CG8789,wnd
chr3L,5809748,5811386,-,s7986,2,CDS,CDS,CG10491,vn
chr3L,6197036,6197255,-,s7987,2,3' UTRs,3' UTRs,CG10236,LanA
chr3L,2566203,2608644,-,s7988,2,CDS,CDS,CG16973,msn
chr3L,7796370,7860921,-,s7989,2,CDS,other,CG32369,CG32369
chr3L,15059619,15059904,-,s7990,2,3' UTRs,CDS,CG33957,cp309
chr3L,16641569,16641814,-,s7991,2,5' UTRs,other,CG4032,Abl
chr3L,3115315,3115790,-,s7992,2,3' UTRs,3' UTRs,CG7740,prominin-like
chr3L,18661964,18662096,-,s7993,2,3' UTRs,3' UTRs,CG18811,CG18811
chr3L,2596595,2596842,-,s7994,2,CDS (AS),CDS (AS),CG12182,CG12182
chr3L,5755244,5755414,-,s7995,2,3' UTRs,3' UTRs,CG10576,CG10576
chr3L,5755260,5755414,-,s7996,2,3' UTRs,3' UTRs,CG10576,CG10576
chr3L,10146714,10149664,-,s7997,2,CDS,CDS,CG32057,dpr10
chr3L,454110,454405,-,s7998,2,CDS,CDS,CG17046,klar
chr3L,19037405,19047011,-,s7999,2,CDS,other,CG11614,nkd
chr3L,2368606,2368973,-,s8000,2,3' UTRs,CDS,CG1317,CG1317
chr3L,2568973,2569033,-,s8001,2,introns,introns,CG16973,msn
chr3L,5160036,5163540,-,s8002,2,CDS,5' UTRs,CG32423,shep
chr3L,6197227,6197644,-,s8003,2,3' UTRs,CDS,CG10236,LanA
chr3L,451128,451771,-,s8004,2,CDS,CDS,CG17046,klar
chr3L,214888,215051,-,s8005,2,CDS (AS),CDS (AS),CG17143,thoc7
chr3L,1860122,1860289,-,s8006,2,3' UTRs,3' UTRs,CG1956,R
